duration,ip_proto,out_packets,out_bytes,in_packets,in_bytes,label
30.019,UDP,31,17742,4085519,4355162230,1
30.02,UDP,32,17784,4553722,4854265604,1
30.019,UDP,32,17784,4536961,4836398378,1
30.02000000000001,UDP,30,17152,4444802,4738157908,1
30.019999999999985,UDP,32,17784,4519876,4818185768,1
30.02000000000001,UDP,31,17742,4521745,4820179146,1
30.019000000000005,UDP,32,17784,4520531,4818883998,1
30.02000000000001,UDP,32,17784,4524496,4823110688,1
30.018999999999977,UDP,32,17784,4530841,4829874458,1
30.019999999999985,UDP,32,17784,4507371,4804855438,1
30.019000000000005,UDP,30,17700,4526924,4825700984,1
30.02000000000004,UDP,33,18374,4516099,4814159486,1
30.019999999999985,UDP,32,17784,4510329,4808008666,1
30.019999999999985,UDP,32,17784,4514108,4812037080,1
30.019000000000005,UDP,30,17700,4508900,4806487400,1
30.02000000000004,UDP,32,17784,4511579,4809341166,1
30.01899999999995,UDP,32,17784,4502279,4799427366,1
30.021000000000072,UDP,30,17700,4543145,4842992570,1
30.019000000000005,UDP,32,17784,4519757,4818058914,1
30.019999999999985,UDP,32,17784,4494696,4791343888,1
30.02099999999996,UDP,30,17700,4516118,4814181788,1
30.019999999999985,UDP,32,17784,4503543,4800774790,1
30.019999999999985,UDP,32,17784,4506560,4803990912,1
30.019000000000005,UDP,32,17784,4513082,4810943364,1
30.021000000000072,UDP,31,17742,4497979,4794844590,1
30.019999999999985,UDP,32,17784,4438500,4731438952,1
30.02199999999993,UDP,33,17826,4506495,4803920598,1
30.020000000000092,UDP,32,17784,4520520,4818872272,1
30.02099999999996,UDP,32,17784,4524854,4823492316,1
30.019999999999985,UDP,32,17784,4519930,4818243332,1
30.022000000000048,UDP,32,17784,4506693,4804132690,1
30.019999999999985,UDP,32,17784,4518316,4816522808,1
30.02199999999993,UDP,32,17784,4502110,4799247212,1
30.020000000000092,UDP,31,17742,4512149,4809949810,1
30.020999999999844,UDP,32,17784,4532922,4832092804,1
30.02000000000021,UDP,32,17784,4544044,4843948856,1
30.02099999999996,UDP,30,17700,4580294,4882593404,1
30.02099999999996,UDP,32,17784,4566026,4867381668,1
30.02099999999996,UDP,31,17742,4576998,4879078844,1
30.019000000000005,UDP,32,17784,4503210,4800419812,1
30.024,UDP,32,17784,4262023,4543314470,1
30.020999999999997,UDP,31,17742,4296399,4579960310,1
30.019000000000005,UDP,32,17784,4289813,4572938610,1
30.021,UDP,32,17784,4285975,4568847302,1
30.02000000000001,UDP,32,17784,4299467,4583229774,1
30.02199999999999,UDP,32,17784,4305108,4589243080,1
30.019000000000005,UDP,33,17826,4316386,4601264404,1
30.020999999999987,UDP,32,17784,4309932,4594385464,1
30.019000000000005,UDP,32,17784,4275263,4557428310,1
30.02100000000001,UDP,32,17784,4283267,4565960574,1
30.019000000000005,UDP,32,17784,4232330,4511661732,1
30.02099999999996,UDP,33,17826,4304663,4588767686,1
30.019000000000005,UDP,31,17742,4314851,4599630142,1
30.02100000000001,UDP,32,17784,4315875,4600720702,1
30.019000000000005,UDP,31,17742,4294690,4578138516,1
30.02100000000001,UDP,31,17742,4304560,4588659936,1
30.019999999999925,UDP,32,17784,4314851,4599629118,1
30.021000000000072,UDP,32,17784,4299296,4583047488,1
30.019000000000005,UDP,31,17742,4306562,4590794068,1
30.02199999999993,UDP,32,17784,4300771,4584619838,1
30.019000000000005,UDP,32,17784,4306513,4590740810,1
30.019999999999985,UDP,31,17742,4284259,4567019070,1
30.021000000000072,UDP,32,17784,4320577,4605733034,1
30.019999999999985,UDP,33,18374,4301004,4584868216,1
30.019999999999985,UDP,32,17784,4293506,4576875348,1
30.019999999999985,UDP,31,17742,4311820,4596399096,1
30.019999999999985,UDP,32,17784,4318236,4603237528,1
30.020000000000092,UDP,33,17826,4303655,4587693158,1
30.019999999999985,UDP,32,17784,4300996,4584859688,1
30.019999999999985,UDP,32,17784,4312401,4597017418,1
30.019999999999985,UDP,32,17784,4306431,4590653398,1
30.02099999999996,UDP,31,17194,4235692,4515245624,1
30.020000000000092,UDP,32,17784,4310270,4594745772,1
30.019999999999868,UDP,32,17784,4290898,4574095220,1
30.019999999999985,UDP,32,17784,4321311,4606515478,1
30.02000000000021,UDP,33,18374,4314805,4599580082,1
30.019000000000005,UDP,32,17784,4307999,4592324886,1
30.02099999999996,UDP,32,17784,4327642,4613264324,1
30.019000000000005,UDP,32,17784,4302763,4586743310,1
30.019999999999985,UDP,32,17784,4318443,4603458190,1
30.02199999999993,UDP,33,17826,4299405,4583162658,1
30.019999999999985,UDP,32,17784,4305118,4589253740,1
30.019999999999985,UDP,32,17784,4295311,4578799478,1
30.019999999999985,UDP,33,17826,4290585,4573760538,1
30.02099999999996,UDP,32,17784,4295516,4579018008,1
30.021000000000186,UDP,33,17826,4300402,4584225460,1
30.02099999999996,UDP,32,17784,4298380,4582071032,1
30.019999999999985,UDP,33,17826,4297800,4581451728,1
30.02099999999996,UDP,32,17784,4305366,4589518108,1
30.02099999999996,UDP,32,17784,4307518,4591812140,1
30.02099999999996,UDP,33,17826,4294597,4578037330,1
30.019000000000005,UDP,32,17784,4302105,4586041882,1
30.02200000000016,UDP,32,17784,4283727,4566450934,1
30.019000000000005,UDP,32,17784,4229324,4508457336,1
30.02099999999996,UDP,31,17742,4294319,4577743030,1
30.019999999999985,UDP,32,17784,4287696,4570681888,1
30.019999999999985,UDP,32,17784,4284478,4567251500,1
30.019000000000005,UDP,31,17742,4297101,4580708642,1
30.02099999999996,UDP,32,17784,4294101,4577509618,1
